"level","playing_users","total_out_of_lives_users","out_of_lives_dropped","out_of_lives_passed_sameday","out_of_lives_passed_later","win_dropped_users_cohort","lose_dropped_users_cohort","win_dropped_users_realtime","lose_dropped_users_realtime","rw_heart_imp","rw_home_heart_imp"
"280","5","0","0","0","0","0","0","0","0","0","0"
"281","5","0","0","0","0","0","0","0","0","0","0"
"282","5","0","0","0","0","0","0","0","0","0","0"
"283","5","0","0","0","0","0","0","0","0","0","0"
"284","5","0","0","0","0","0","0","0","0","0","0"
"285","5","0","0","0","0","0","0","0","0","0","0"
"286","5","0","0","0","0","0","0","0","0","0","0"
"287","5","0","0","0","0","0","0","0","0","0","0"
"288","5","0","0","0","0","0","0","1","0","0","0"
"289","4","0","0","0","0","0","0","0","0","0","0"
"290","4","0","0","0","0","0","0","0","0","0","0"
"291","4","0","0","0","0","0","0","0","0","0","0"
"292","4","0","0","0","0","0","0","0","0","0","0"
"293","4","0","0","0","0","0","0","0","0","0","0"
"294","3","0","0","0","0","0","0","0","0","0","0"
"295","3","0","0","0","0","0","0","0","0","0","0"
"296","3","0","0","0","0","0","0","0","0","0","0"
"297","3","0","0","0","0","0","0","0","0","0","0"
"298","3","0","0","0","0","0","0","0","0","0","0"
"299","3","0","0","0","0","0","0","0","0","0","0"
"300","3","0","0","0","0","0","0","0","0","0","0"
"301","3","0","0","0","0","0","0","0","0","0","0"
"302","3","0","0","0","0","0","0","0","0","0","0"
"303","3","0","0","0","0","0","0","0","0","0","0"
"304","3","0","0","0","0","0","0","0","0","0","0"
"305","3","0","0","0","0","0","0","0","0","0","0"
"306","3","0","0","0","0","0","0","0","0","0","0"
"307","3","0","0","0","0","0","0","0","0","0","0"
"308","3","0","0","0","0","0","0","0","0","0","0"
"309","4","0","0","0","0","0","0","0","1","0","0"
"310","3","0","0","0","0","0","0","0","0","0","0"
"311","3","0","0","0","0","0","0","0","0","0","0"
"312","3","0","0","0","0","0","0","0","0","0","0"
"313","3","0","0","0","0","0","0","0","0","0","0"
"314","3","0","0","0","0","0","0","0","0","0","0"
"315","3","0","0","0","0","0","0","0","0","0","0"
"316","3","0","0","0","0","0","0","0","0","0","0"
"317","3","0","0","0","0","0","0","0","0","0","0"
"318","3","0","0","0","0","0","0","0","0","0","0"
"319","3","0","0","0","0","0","0","0","0","0","0"
"320","3","0","0","0","0","0","0","0","0","0","0"
"321","3","0","0","0","0","0","0","0","0","0","0"
"322","3","0","0","0","0","0","0","0","0","0","0"
"323","3","0","0","0","0","0","0","0","0","0","0"
"324","3","0","0","0","0","0","0","0","0","0","0"
"325","3","0","0","0","0","0","0","0","0","0","0"
"326","3","0","0","0","0","0","0","0","0","0","0"
"327","3","0","0","0","0","0","0","0","0","0","0"
"328","3","0","0","0","0","0","0","0","0","0","0"
"329","3","0","0","0","0","0","0","0","0","0","0"
"330","3","0","0","0","0","0","0","0","0","0","0"
"331","3","0","0","0","0","0","0","0","0","0","0"
"332","3","0","0","0","0","0","0","0","0","0","0"
"333","3","0","0","0","0","0","0","0","0","0","0"
"334","3","0","0","0","0","0","0","0","0","0","0"
"335","3","0","0","0","0","0","0","0","0","0","0"
"336","3","0","0","0","0","0","0","0","0","0","0"
"337","3","0","0","0","0","0","0","0","0","0","0"
"338","3","0","0","0","0","0","0","0","0","0","0"
"339","3","0","0","0","0","0","0","0","0","0","0"
"340","3","0","0","0","0","0","0","0","0","0","0"
"341","3","0","0","0","0","0","0","0","0","0","0"
"342","3","0","0","0","0","0","0","0","0","0","0"
"343","3","0","0","0","0","0","0","0","0","0","0"
"344","3","0","0","0","0","0","0","0","0","0","0"
"345","3","0","0","0","0","0","0","1","0","0","0"
"346","2","0","0","0","0","0","0","0","0","0","0"
"347","2","0","0","0","0","0","0","0","0","0","0"
"348","2","0","0","0","0","0","0","0","0","0","0"
"349","2","0","0","0","0","0","0","0","0","0","0"
"350","2","0","0","0","0","0","0","0","0","0","0"
"351","2","0","0","0","0","0","0","1","0","0","0"
"352","1","0","0","0","0","0","0","0","0","0","0"
"353","1","0","0","0","0","0","0","0","0","0","0"
"354","1","0","0","0","0","0","0","0","0","0","0"
"355","1","0","0","0","0","0","0","0","0","0","0"
"356","1","0","0","0","0","0","0","0","0","0","0"
"357","1","0","0","0","0","0","0","0","0","0","0"
"358","1","0","0","0","0","0","0","0","0","0","0"
"359","1","0","0","0","0","0","0","0","0","0","0"
"360","1","0","0","0","0","0","0","0","0","0","0"
"361","1","0","0","0","0","0","0","0","0","0","0"
"362","1","0","0","0","0","0","0","0","0","0","0"
"363","1","0","0","0","0","0","0","0","0","0","0"
"364","1","0","0","0","0","0","0","0","0","0","0"
"365","1","0","0","0","0","0","0","0","0","0","0"
"366","1","0","0","0","0","0","0","0","0","0","0"
"367","1","0","0","0","0","0","0","0","0","0","0"
"368","1","0","0","0","0","0","0","0","0","0","0"
"369","1","0","0","0","0","0","0","0","0","0","0"
"370","1","0","0","0","0","0","0","0","0","0","0"
"371","1","0","0","0","0","0","0","0","0","0","0"
"372","1","0","0","0","0","0","0","0","0","0","0"
"373","1","0","0","0","0","0","0","0","0","0","0"
"374","1","0","0","0","0","0","0","0","0","0","0"
"375","1","0","0","0","0","0","0","0","0","0","0"
"376","1","0","0","0","0","0","0","0","0","0","0"
"377","1","0","0","0","0","0","0","0","0","0","0"
"378","1","0","0","0","0","0","0","0","0","0","0"
"379","1","0","0","0","0","0","0","0","0","0","0"
"380","1","0","0","0","0","0","0","0","0","0","0"
"381","1","0","0","0","0","0","0","0","0","0","0"
"382","1","0","0","0","0","0","0","0","0","0","0"
"383","1","0","0","0","0","0","0","0","0","0","0"
"384","1","0","0","0","0","0","0","0","0","0","0"
"385","1","0","0","0","0","0","0","0","0","0","0"
"386","1","0","0","0","0","0","0","0","0","0","0"
"387","1","0","0","0","0","0","0","0","0","0","0"
"388","1","0","0","0","0","0","0","0","0","0","0"
"389","1","0","0","0","0","0","0","0","0","0","0"
"390","1","0","0","0","0","0","0","0","0","0","0"
"391","1","0","0","0","0","0","0","0","0","0","0"
"392","1","0","0","0","0","0","0","0","0","0","0"
"393","1","0","0","0","0","0","0","0","0","0","0"
"394","1","0","0","0","0","0","0","0","0","0","0"
"395","1","0","0","0","0","0","0","0","0","0","0"
"396","1","0","0","0","0","0","0","0","0","0","0"
"397","1","0","0","0","0","0","0","0","0","0","0"
"398","1","0","0","0","0","0","0","0","0","0","0"
"399","1","0","0","0","0","0","0","0","0","0","0"
"400","1","0","0","0","0","0","0","0","0","0","0"
"401","1","0","0","0","0","0","0","0","0","0","0"
"402","1","0","0","0","0","0","0","0","0","0","0"
"403","1","0","0","0","0","0","0","0","0","0","0"
"404","1","0","0","0","0","0","0","0","0","0","0"
"405","1","0","0","0","0","0","0","0","0","0","0"
"406","1","0","0","0","0","0","0","0","0","0","0"
"407","1","0","0","0","0","0","0","0","0","0","0"
"408","1","0","0","0","0","0","0","0","0","0","0"
"409","1","0","0","0","0","0","0","0","0","0","0"
"410","1","0","0","0","0","0","0","0","0","0","0"
"411","1","0","0","0","0","0","0","0","0","0","0"
"412","1","0","0","0","0","0","0","0","0","0","0"
"413","1","0","0","0","0","0","0","0","0","0","0"
"414","1","0","0","0","0","0","0","0","0","0","0"
"415","1","0","0","0","0","0","0","0","0","0","0"
"416","1","0","0","0","0","0","0","0","0","0","0"
"417","1","0","0","0","0","0","0","0","0","0","0"
"418","1","0","0","0","0","0","0","0","0","0","0"
"419","1","0","0","0","0","0","0","0","0","0","0"
"420","1","0","0","0","0","0","0","0","0","0","0"
"421","1","0","0","0","0","0","0","0","0","0","0"
"422","1","0","0","0","0","0","0","0","0","0","0"
"423","1","0","0","0","0","0","0","0","0","0","0"
"424","1","0","0","0","0","0","0","0","0","0","0"
"425","1","0","0","0","0","0","0","0","0","0","0"
"426","1","0","0","0","0","0","0","0","0","0","0"
"427","1","0","0","0","0","0","0","0","0","0","0"
"428","1","0","0","0","0","0","0","0","0","0","0"
"429","1","0","0","0","0","0","0","0","0","0","0"
"430","1","0","0","0","0","1","0","1","0","0","0"
